county,cases,deaths,retail_recreation,grocery_pharmacy,parks,transit_station,workplaces,residential
Albany,2,0,2,-3,-8,-2,-8,2
Albany,2,0,1,-5,-10,-5,-9,3
Albany,5,0,9,-3,78,6,4,-1
Albany,11,0,9,0,121,7,4,-2
Albany,12,0,7,2,57,3,3,-1
Albany,23,0,4,0,12,4,4,0
Albany,36,0,6,-1,-2,4,3,0
Albany,43,0,2,1,-4,4,3,0
Albany,61,0,6,7,-1,4,2,0
Albany,88,0,11,4,16,11,4,-1
Albany,123,0,10,13,19,4,7,-1
Albany,127,0,11,15,29,5,3,0
Albany,146,0,8,15,41,8,3,-1
Albany,152,0,7,8,6,2,3,0
Albany,171,0,5,13,18,2,3,-1
Albany,187,0,6,10,12,7,3,0
Albany,195,1,12,12,78,11,6,-1
Albany,205,1,9,13,186,7,2,-1
Albany,217,1,10,16,114,4,2,-1
Albany,226,1,0,9,-2,0,2,1
Albany,240,2,3,15,11,2,0,1
Albany,253,2,2,32,6,-3,-1,1
Albany,267,4,-7,34,-1,-8,-7,5
Albany,293,6,-15,18,64,-13,-4,4
Albany,305,8,-19,11,99,-15,-7,3
Albany,319,9,-11,28,5,-21,-20,8
Albany,333,9,-33,17,-22,-28,-35,15
Albany,342,10,-36,7,23,-30,-40,17
Albany,379,12,-40,4,-16,-40,-43,18
Albany,426,14,-43,7,5,-45,-46,21
Albany,446,16,-49,-5,133,-37,-27,11
Albany,478,16,-54,-15,90,-52,-29,10
Albany,499,17,-60,-29,-55,-57,-56,23
Albany,535,21,-57,-19,-47,-54,-56,24
Albany,548,26,-54,-18,-27,-56,-56,24
Albany,581,26,-51,-11,43,-53,-55,23
Albany,619,26,-52,-15,41,-52,-55,24
Albany,648,26,-59,-25,33,-59,-37,14
Albany,682,33,-59,-30,-15,-64,-36,13
Albany,687,35,-51,-19,-37,-60,-56,23
Albany,704,36,-52,-15,-20,-56,-58,23
Albany,737,36,-49,-12,12,-53,-57,23
Albany,758,41,-52,-12,-13,-58,-58,24
Albany,805,42,-54,-15,-39,-61,-58,27
Albany,899,43,-55,-16,173,-55,-37,13
Albany,948,45,-56,-23,91,-62,-37,11
Albany,979,45,-49,-8,37,-57,-58,22
Albany,1009,45,-60,20,30,-52,-58,23
Albany,1067,47,-63,15,-17,-53,-59,25
Albany,1165,53,-66,15,-44,-59,-59,26
Albany,1204,55,-64,26,-31,-60,-60,27
Albany,1238,60,-62,37,66,-54,-37,14
Albany,1258,61,-80,-53,,-66,-41,12
Albany,1287,65,-68,-25,-46,-65,-59,25
Albany,1294,70,-62,-12,-2,-54,-57,23
Albany,1321,93,-61,-15,-7,-55,-57,24
Albany,1348,100,-62,-13,-22,-58,-58,24
Albany,1384,103,-64,-17,-9,-59,-57,26
Albany,1416,107,-67,-22,14,-60,-36,15
Albany,1432,109,-63,-21,,-61,-33,10
Albany,1456,112,-59,-15,14,-57,-57,22
Albany,1479,116,-65,-19,-43,-61,-57,24
Albany,1494,118,-63,-18,-40,-58,-57,25
Albany,1509,120,-62,-14,17,-57,-58,24
Albany,1538,124,-64,-17,-29,-61,-56,26
Albany,1572,127,-61,-15,,-48,-34,10
Albany,1579,128,-66,-24,-16,-66,-36,12
Albany,1610,129,-60,-16,-38,-61,-56,23
Albany,1655,130,-57,-10,40,-53,-56,16
Albany,1682,132,-59,-13,4,-54,-56,23
Albany,1700,134,-61,-15,-37,-58,-57,25
Albany,1756,136,-60,-13,-16,-55,-56,25
Albany,1770,138,-56,-10,,-42,-30,9
Albany,1782,140,-54,-12,,-49,-31,7
Albany,1791,141,-54,-14,-11,-56,-55,21
Albany,1793,141,-52,-4,31,-52,-55,21
Albany,1796,141,-58,-14,8,-53,-55,22
Albany,1814,142,-54,-8,74,-49,-54,21
Albany,1834,142,-57,-6,30,-54,-53,23
Albany,1843,142,-58,-5,40,-56,-30,12
Albany,1860,142,-56,-11,,-54,-27,7
Albany,1882,143,-58,-19,-27,-57,-53,22
Albany,1900,143,-55,-11,3,-53,-53,21
Albany,1920,145,-52,-12,37,-48,-53,21
Albany,1930,145,-51,-10,69,-49,-53,20
Albany,1941,145,-55,-15,21,-54,-53,23
Albany,1953,146,-53,-14,,-49,-27,7
Albany,1961,148,-50,-18,,-54,-25,7
Albany,1978,148,-47,-11,4,-53,-52,20
Albany,1983,149,-46,-8,42,-49,-52,19
Albany,1986,150,-46,-8,68,-47,-52,19
Albany,1996,152,-45,-3,89,-44,-52,19
Albany,2007,152,-47,-4,79,-48,-52,19
Albany,2016,152,-51,-11,,-48,-25,7
Albany,2020,153,-49,-13,,-50,-22,4
Albany,2022,154,-52,-14,98,-57,-77,20
Albany,2026,156,-47,-10,29,-49,-51,18
Albany,2029,157,-45,-7,38,-45,-50,19
Albany,2034,157,-45,-6,36,-44,-49,19
Albany,2049,157,-51,-11,16,-54,-49,21
Albany,2053,157,-49,-13,,-43,-14,7
Albany,2054,157,-49,-16,,-48,-16,6
Albany,2060,157,-43,-3,28,-46,-48,17
Albany,2062,157,-46,-5,4,-49,-48,18
Albany,2065,157,-44,-4,40,-43,-48,18
Albany,2076,159,-42,-1,67,-42,-47,16
Albany,2084,159,-46,-8,40,-46,-47,18
Albany,2091,159,-46,-11,235,-42,-14,5
Albany,2097,159,-43,-15,,-43,-12,4
